归属单位,仪表类别,仪表数量,数据统计周,本月故障小时数,本月运维内容,该运维内容对应次数,该运维内容单次运维费用,未来N个月内安装次数,未来N个月运维成本,未来总成本预测,安装时间（每个仪表单独统计）,报废时间（每个仪表单独统计）,已服役总时间（每个仪表单独统计）
孤岛采油厂/采油管理四区,温压变,76,第14周,2,井场仪表设备故障诊断(功图部分除外),25,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第2周,6,井场仪表设备故障诊断(功图部分除外),21,348,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第3周,4,井场仪表设备故障诊断(功图部分除外),32,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第4周,4,井场仪表设备故障诊断(功图部分除外),16,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第5周,4,井场仪表设备故障诊断(功图部分除外),46,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第6周,8,井场仪表设备故障诊断(功图部分除外),36,464,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第7周,6,井场仪表设备故障诊断(功图部分除外),15,348,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第8周,8,井场仪表设备故障诊断(功图部分除外),31,464,,,,,,
孤岛采油厂/采油管理四区,温压变,130,第9周,2,井场仪表设备故障诊断(功图部分除外),37,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第10周,12,井场仪表设备故障诊断(功图部分除外),45,696,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第11周,4,井场仪表设备故障诊断(功图部分除外),22,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第12周,8,井场仪表设备故障诊断(功图部分除外),27,464,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第13周,16,井场仪表设备故障诊断(功图部分除外),52,928,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第14周,8,井场仪表设备故障诊断(功图部分除外),41,464,,,,,,
孤岛采油厂/采油管理四区,温压变,95,第1周,2,井场仪表设备故障诊断(功图部分除外),8,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第2周,4,井场仪表设备故障诊断(功图部分除外),23,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第3周,2,井场仪表设备故障诊断(功图部分除外),20,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第4周,4,井场仪表设备故障诊断(功图部分除外),28,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第5周,2,井场仪表设备故障诊断(功图部分除外),7,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第6周,8,井场仪表设备故障诊断(功图部分除外),21,464,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第7周,2,井场仪表设备故障诊断(功图部分除外),9,116,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第8周,4,井场仪表设备故障诊断(功图部分除外),36,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第9周,4,井场仪表设备故障诊断(功图部分除外),35,232,,,,,,
孤岛采油厂/采油管理四区,温压变,76,第10周,2,井场仪表设备故障诊断(功图部分除外),15,116,,,,,,
